Call Date,Custom Grouping,counts
01/01/2010,Aid Other Agency,8
01/01/2010,Chemical / Electrical,9
01/01/2010,Fire,242
01/01/2010,Medical,606
01/01/2010,Misc Emergency,44
01/01/2010,Rescue,1
01/01/2010,Various Other,7
01/01/2011,Aid Other Agency,12
01/01/2011,Chemical / Electrical,15
01/01/2011,Fire,282
01/01/2011,Medical,778
01/01/2011,Misc Emergency,47
01/01/2011,Rescue,4
01/01/2011,Various Other,14
01/01/2012,Aid Other Agency,7
01/01/2012,Chemical / Electrical,3
01/01/2012,Fire,402
01/01/2012,Medical,900
01/01/2012,Misc Emergency,37
01/01/2012,Rescue,5
01/01/2012,Various Other,8
01/01/2013,Aid Other Agency,15
01/01/2013,Chemical / Electrical,9
01/01/2013,Fire,220
01/01/2013,Medical,765
01/01/2013,Misc Emergency,24
01/01/2013,Rescue,1
01/01/2013,Various Other,13
01/01/2014,Aid Other Agency,10
01/01/2014,Chemical / Electrical,14
01/01/2014,Fire,283
01/01/2014,Medical,818
01/01/2014,Misc Emergency,54
01/01/2014,Rescue,14
01/01/2014,Various Other,25
01/01/2015,Aid Other Agency,16
01/01/2015,Chemical / Electrical,9
01/01/2015,Fire,236
01/01/2015,Medical,848
01/01/2015,Misc Emergency,38
01/01/2015,Rescue,12
01/01/2015,Various Other,15
01/01/2016,Aid Other Agency,17
01/01/2016,Chemical / Electrical,5
01/01/2016,Fire,263
01/01/2016,Medical,842
01/01/2016,Misc Emergency,29
01/01/2016,Rescue,29
01/01/2016,Various Other,9
01/01/2017,Aid Other Agency,5
01/01/2017,Chemical / Electrical,6
01/01/2017,Fire,234
01/01/2017,Medical,851
01/01/2017,Misc Emergency,27
01/01/2017,Rescue,18
01/01/2017,Various Other,25
01/01/2018,Aid Other Agency,7
01/01/2018,Chemical / Electrical,3
01/01/2018,Fire,315
01/01/2018,Medical,745
01/01/2018,Misc Emergency,46
01/01/2018,Rescue,6
01/01/2018,Various Other,14
01/01/2019,Aid Other Agency,6
01/01/2019,Chemical / Electrical,4
01/01/2019,Fire,267
01/01/2019,Medical,635
01/01/2019,Misc Emergency,29
01/01/2019,Rescue,6
01/01/2019,Various Other,6
01/01/2020,Aid Other Agency,25
01/01/2020,Chemical / Electrical,2
01/01/2020,Fire,196
01/01/2020,Medical,748
01/01/2020,Misc Emergency,38
01/01/2020,Rescue,20
01/01/2020,Various Other,28
01/02/2010,Aid Other Agency,15
01/02/2010,Chemical / Electrical,12
01/02/2010,Fire,238
01/02/2010,Medical,426
01/02/2010,Misc Emergency,20
01/02/2010,Rescue,23
01/02/2010,Various Other,6
01/02/2011,Aid Other Agency,8
01/02/2011,Chemical / Electrical,11
01/02/2011,Fire,185
01/02/2011,Medical,456
01/02/2011,Misc Emergency,26
01/02/2011,Rescue,27
01/02/2011,Various Other,6
01/02/2012,Aid Other Agency,11
01/02/2012,Chemical / Electrical,10
01/02/2012,Fire,181
01/02/2012,Medical,403
01/02/2012,Misc Emergency,5
01/02/2012,Rescue,1
01/02/2012,Various Other,13
01/02/2013,Aid Other Agency,5
01/02/2013,Chemical / Electrical,6
01/02/2013,Fire,148
01/02/2013,Medical,551
01/02/2013,Misc Emergency,27
01/02/2013,Rescue,4
01/02/2013,Various Other,15
01/02/2014,Aid Other Agency,8
01/02/2014,Chemical / Electrical,14
01/02/2014,Fire,236
01/02/2014,Medical,500
01/02/2014,Misc Emergency,14
01/02/2014,Rescue,1
01/02/2014,Various Other,10
01/02/2015,Aid Other Agency,9
01/02/2015,Chemical / Electrical,13
01/02/2015,Fire,157
01/02/2015,Medical,498
01/02/2015,Misc Emergency,30
01/02/2015,Rescue,1
01/02/2015,Various Other,11
01/02/2016,Aid Other Agency,5
01/02/2016,Chemical / Electrical,2
01/02/2016,Fire,216
01/02/2016,Medical,603
01/02/2016,Misc Emergency,27
01/02/2016,Rescue,28
01/02/2016,Various Other,12
01/02/2017,Aid Other Agency,11
01/02/2017,Chemical / Electrical,8
01/02/2017,Fire,128
01/02/2017,Medical,586
01/02/2017,Misc Emergency,20
01/02/2017,Rescue,1
01/02/2017,Various Other,14
01/02/2018,Aid Other Agency,13
01/02/2018,Chemical / Electrical,2
01/02/2018,Fire,179
01/02/2018,Medical,613
01/02/2018,Misc Emergency,21
01/02/2018,Rescue,3
01/02/2018,Various Other,5
01/02/2019,Aid Other Agency,26
01/02/2019,Chemical / Electrical,9
01/02/2019,Fire,295
01/02/2019,Medical,583
01/02/2019,Misc Emergency,25
01/02/2019,Rescue,1
01/02/2019,Various Other,13
01/03/2010,Aid Other Agency,7
01/03/2010,Chemical / Electrical,9
01/03/2010,Fire,201
01/03/2010,Medical,466
01/03/2010,Misc Emergency,24
01/03/2010,Rescue,1
01/03/2010,Various Other,9
01/03/2011,Aid Other Agency,6
01/03/2011,Chemical / Electrical,13
01/03/2011,Fire,168
01/03/2011,Medical,503
01/03/2011,Misc Emergency,2
01/03/2011,Rescue,4
01/03/2011,Various Other,12
01/03/2012,Aid Other Agency,7
01/03/2012,Chemical / Electrical,9
01/03/2012,Fire,254
01/03/2012,Medical,454
01/03/2012,Misc Emergency,33
01/03/2012,Rescue,16
01/03/2012,Various Other,18
01/03/2013,Aid Other Agency,7
01/03/2013,Chemical / Electrical,17
01/03/2013,Fire,168
01/03/2013,Medical,495
01/03/2013,Misc Emergency,18
01/03/2013,Various Other,15
01/03/2014,Aid Other Agency,9
01/03/2014,Chemical / Electrical,18
01/03/2014,Fire,196
01/03/2014,Medical,613
01/03/2014,Misc Emergency,36
01/03/2014,Rescue,3
01/03/2014,Various Other,17
01/03/2015,Aid Other Agency,5
01/03/2015,Chemical / Electrical,13
01/03/2015,Fire,228
01/03/2015,Medical,528
01/03/2015,Misc Emergency,38
01/03/2015,Rescue,2
01/03/2015,Various Other,5
01/03/2016,Aid Other Agency,14
01/03/2016,Chemical / Electrical,19
01/03/2016,Fire,260
01/03/2016,Medical,524
01/03/2016,Misc Emergency,29
01/03/2016,Rescue,2
01/03/2016,Various Other,19
01/03/2017,Aid Other Agency,14
01/03/2017,Chemical / Electrical,17
01/03/2017,Fire,207
01/03/2017,Medical,697
01/03/2017,Misc Emergency,39
01/03/2017,Rescue,7
01/03/2017,Various Other,19
01/03/2018,Aid Other Agency,15
01/03/2018,Chemical / Electrical,9
01/03/2018,Fire,248
01/03/2018,Medical,624
01/03/2018,Misc Emergency,29
01/03/2018,Rescue,2
01/03/2018,Various Other,17
01/03/2019,Aid Other Agency,12
01/03/2019,Chemical / Electrical,9
01/03/2019,Fire,199
01/03/2019,Medical,578
01/03/2019,Misc Emergency,22
01/03/2019,Rescue,1
01/03/2019,Various Other,7
01/04/2010,Aid Other Agency,10
01/04/2010,Chemical / Electrical,11
01/04/2010,Fire,253
01/04/2010,Medical,455
01/04/2010,Misc Emergency,13
01/04/2010,Rescue,11
01/04/2010,Various Other,1
01/04/2011,Aid Other Agency,10
01/04/2011,Chemical / Electrical,17
01/04/2011,Fire,249
01/04/2011,Medical,502
01/04/2011,Misc Emergency,17
01/04/2011,Rescue,12
01/04/2011,Various Other,5
01/04/2012,Aid Other Agency,7
01/04/2012,Chemical / Electrical,5
01/04/2012,Fire,183
01/04/2012,Medical,521
01/04/2012,Misc Emergency,35
01/04/2012,Various Other,22
01/04/2013,Aid Other Agency,8
01/04/2013,Chemical / Electrical,19
01/04/2013,Fire,207
01/04/2013,Medical,469
01/04/2013,Misc Emergency,51
01/04/2013,Rescue,16
01/04/2013,Various Other,15
01/04/2014,Aid Other Agency,10
01/04/2014,Chemical / Electrical,7
01/04/2014,Fire,282
01/04/2014,Medical,498
01/04/2014,Misc Emergency,50
01/04/2014,Rescue,1
01/04/2014,Various Other,8
01/04/2015,Aid Other Agency,5
01/04/2015,Chemical / Electrical,8
01/04/2015,Fire,194
01/04/2015,Medical,475
01/04/2015,Misc Emergency,30
01/04/2015,Rescue,17
01/04/2015,Various Other,12
01/04/2016,Aid Other Agency,7
01/04/2016,Chemical / Electrical,1
01/04/2016,Fire,207
01/04/2016,Medical,528
01/04/2016,Misc Emergency,22
01/04/2016,Rescue,5
01/04/2016,Various Other,10
01/04/2017,Aid Other Agency,15
01/04/2017,Chemical / Electrical,21
01/04/2017,Fire,215
01/04/2017,Medical,673
01/04/2017,Misc Emergency,69
01/04/2017,Rescue,3
01/04/2017,Various Other,12
01/04/2018,Aid Other Agency,9
01/04/2018,Chemical / Electrical,26
01/04/2018,Fire,153
01/04/2018,Medical,639
01/04/2018,Misc Emergency,44
01/04/2018,Rescue,3
01/04/2018,Various Other,14
01/04/2019,Aid Other Agency,5
01/04/2019,Chemical / Electrical,12
01/04/2019,Fire,212
01/04/2019,Medical,589
01/04/2019,Misc Emergency,38
01/04/2019,Rescue,3
01/04/2019,Various Other,14
01/05/2010,Aid Other Agency,8
01/05/2010,Chemical / Electrical,6
01/05/2010,Fire,144
01/05/2010,Medical,479
01/05/2010,Misc Emergency,38
01/05/2010,Rescue,2
01/05/2010,Various Other,3
01/05/2011,Aid Other Agency,6
01/05/2011,Chemical / Electrical,7
01/05/2011,Fire,197
01/05/2011,Medical,454
01/05/2011,Misc Emergency,38
01/05/2011,Rescue,16
01/05/2011,Various Other,9
01/05/2012,Aid Other Agency,15
01/05/2012,Chemical / Electrical,7
01/05/2012,Fire,170
01/05/2012,Medical,486
01/05/2012,Misc Emergency,40
01/05/2012,Rescue,4
01/05/2012,Various Other,12
01/05/2013,Aid Other Agency,22
01/05/2013,Chemical / Electrical,18
01/05/2013,Fire,129
01/05/2013,Medical,475
01/05/2013,Misc Emergency,23
01/05/2013,Rescue,4
01/05/2013,Various Other,14
01/05/2014,Aid Other Agency,7
01/05/2014,Chemical / Electrical,5
01/05/2014,Fire,197
01/05/2014,Medical,468
01/05/2014,Misc Emergency,28
01/05/2014,Various Other,5
01/05/2015,Aid Other Agency,3
01/05/2015,Chemical / Electrical,12
01/05/2015,Fire,168
01/05/2015,Medical,672
01/05/2015,Misc Emergency,36
01/05/2015,Rescue,2
01/05/2015,Various Other,4
01/05/2016,Aid Other Agency,10
01/05/2016,Chemical / Electrical,4
01/05/2016,Fire,232
01/05/2016,Medical,589
01/05/2016,Misc Emergency,35
01/05/2016,Rescue,1
01/05/2016,Various Other,12
01/05/2017,Aid Other Agency,13
01/05/2017,Chemical / Electrical,8
01/05/2017,Fire,283
01/05/2017,Medical,678
01/05/2017,Misc Emergency,43
01/05/2017,Rescue,9
01/05/2017,Various Other,15
01/05/2018,Aid Other Agency,9
01/05/2018,Chemical / Electrical,10
01/05/2018,Fire,238
01/05/2018,Medical,648
01/05/2018,Misc Emergency,38
01/05/2018,Rescue,1
01/05/2018,Various Other,14
01/05/2019,Aid Other Agency,17
01/05/2019,Chemical / Electrical,17
01/05/2019,Fire,219
01/05/2019,Medical,554
01/05/2019,Misc Emergency,23
