date,arrive,respond
January 2010,4.33291449,3.323906627
February 2010,4.442230184,3.437624
March 2010,4.415119541,3.42600945
April 2010,4.328053036,3.326391222
May 2010,4.527520609,3.469380513
June 2010,4.406247975,3.649224607
July 2010,4.34969574,3.328347845
August 2010,4.540736427,3.545303494
September 2010,4.557294064,3.668514354
October 2010,4.558048061,4.238978102
November 2010,4.487450199,3.720635591
December 2010,4.55412844,3.51483329
January 2011,4.400286089,3.882418058
February 2011,4.601198801,3.664210809
March 2011,4.619207885,3.730966659
April 2011,4.558254865,3.808263298
May 2011,4.630468348,4.008413337
June 2011,4.408380682,4.048937943
July 2011,4.576370997,3.546759741
August 2011,4.519995086,3.468084049
September 2011,4.483336402,3.495218479
October 2011,4.341014627,3.394889013
November 2011,4.385410144,3.373733279
December 2011,4.662339323,4.138504586
January 2012,4.731473093,3.742613775
February 2012,4.779824445,3.491909559
March 2012,4.945809592,3.680283172
April 2012,4.738730159,3.558348294
May 2012,5.059326762,3.909010252
June 2012,5.01009663,3.839214724
July 2012,4.895935265,3.660303061
August 2012,5.152595568,3.763765182
September 2012,5.068611987,3.550900404
October 2012,5.042278861,3.970308789
November 2012,4.995625273,3.653082866
December 2012,5.195170129,3.898138679
January 2013,5.155604549,3.808147485
February 2013,5.286566564,3.66
March 2013,5.081584375,3.66354687
April 2013,5.100691313,3.593399213
May 2013,5.13623546,3.610421028
June 2013,5.072171217,3.659805769
July 2013,5.283164857,3.807457425
August 2013,5.232031624,3.863520167
September 2013,5.285391924,4.138081395
October 2013,5.331692563,4.017182619
November 2013,5.190581964,3.77158536
December 2013,5.368666539,4.121420215
January 2014,5.134993951,4.307071062
February 2014,5.325314861,4.432770134
March 2014,5.550559862,6.675569521
April 2014,5.458417382,4.848431734
May 2014,5.744978262,5.448839592
June 2014,5.635193609,5.172254594
July 2014,5.685276107,5.010531053
August 2014,5.837054758,5.390425486
September 2014,5.62372491,4.2934506
October 2014,5.590337218,4.110390968
November 2014,5.44082454,4.063016254
December 2014,5.549842767,4.496584611
January 2015,5.790525392,4.787811746
February 2015,5.75375982,4.119165243
March 2015,5.530804233,3.994266823
April 2015,5.661147376,4.080667534
May 2015,5.633245514,4.061426657
June 2015,5.547512235,3.86712187
July 2015,5.34736084,3.636972736
August 2015,5.312634584,3.676225982
September 2015,5.541976188,3.78711613
October 2015,5.521586121,3.846783388
November 2015,5.471569177,4.208746769
December 2015,5.468432889,3.783680618
January 2016,5.468885388,3.768058988
February 2016,5.752051189,3.786165388
March 2016,5.668568057,3.882881431
April 2016,5.786489378,3.954411091
May 2016,5.593828748,3.766995614
June 2016,5.596794018,4.37684008
July 2016,5.31650641,3.768214863
August 2016,5.402134866,3.60345261
September 2016,5.713466627,4.085394511
October 2016,5.638955438,3.828933556
November 2016,5.672834527,3.705061369
December 2016,5.818295991,4.048355899
January 2017,5.697514613,3.953863094
February 2017,5.636667696,4.301361177
March 2017,5.445472725,3.848055183
April 2017,5.401392111,3.924816821
May 2017,5.518750598,3.812768954
June 2017,5.656257541,4.350579273
July 2017,5.465988745,3.8431008
August 2017,5.462146564,3.846541585
September 2017,5.685746864,4.351146191
October 2017,5.646373718,4.098600215
November 2017,5.635230956,3.735415266
December 2017,5.726141296,3.745842292
January 2018,5.775012444,4.323691303
February 2018,5.680014265,3.878049812
March 2018,5.774608165,4.043151898
April 2018,5.552244601,3.826658625
May 2018,5.742152679,3.97545098
June 2018,5.773825439,3.855088974
July 2018,5.678992956,3.593294633
August 2018,5.774239035,3.566917658
September 2018,5.88399037,3.645590752
October 2018,5.92858812,3.711737852
November 2018,5.722131415,3.750966231
December 2018,5.789773917,3.646917359
January 2019,5.650690088,3.633126935
February 2019,5.84503979,3.832005973
March 2019,5.900036516,3.654319102
April 2019,5.644449807,3.504981245
May 2019,5.847123757,3.595135114
June 2019,5.844717377,3.680838233
July 2019,5.747276161,3.585180723
August 2019,5.853711298,3.595379808
September 2019,5.925375105,3.783315393
October 2019,5.916930177,3.775154542
November 2019,5.766663542,3.695695773
December 2019,5.89075223,3.596769669
